timestamp,cpu_usage,memory_usage,memory_limit,memory_percent,net_io,block_io,pids
2024-12-01T13:26:50.886197,0.00%,2.914MiB,128MiB,2.28%,1.02kB / 0B,0B / 0B,7
2024-12-01T13:26:55.173853,0.11%,2.914MiB,128MiB,2.28%,1.02kB / 0B,0B / 0B,7
2024-12-01T13:26:59.272051,41.21%,9.82MiB,128MiB,7.67%,1.85MB / 1.94MB,0B / 0B,10
2024-12-01T13:27:02.391783,39.11%,10.09MiB,128MiB,7.88%,3.1MB / 3.28MB,0B / 0B,11
2024-12-01T13:27:05.426182,18.42%,10.12MiB,128MiB,7.91%,4.26MB / 4.52MB,0B / 0B,11
2024-12-01T13:27:08.459485,15.45%,10.24MiB,128MiB,8.00%,5.42MB / 5.75MB,0B / 0B,11
2024-12-01T13:27:11.484330,28.17%,10.5MiB,128MiB,8.20%,6.57MB / 6.98MB,0B / 0B,11
2024-12-01T13:27:15.559596,24.94%,10.54MiB,128MiB,8.23%,8.11MB / 8.62MB,0B / 0B,11
2024-12-01T13:27:19.609156,11.90%,10.27MiB,128MiB,8.02%,9.54MB / 10.1MB,0B / 0B,11
2024-12-01T13:27:22.983360,0.03%,10.21MiB,128MiB,7.97%,9.54MB / 10.1MB,0B / 0B,11
2024-12-01T13:27:26.037298,0.02%,10.19MiB,128MiB,7.96%,9.54MB / 10.1MB,0B / 0B,11
2024-12-01T13:27:29.101508,0.07%,10.19MiB,128MiB,7.96%,9.54MB / 10.1MB,0B / 0B,11
2024-12-01T13:27:32.149478,0.07%,10.19MiB,128MiB,7.96%,9.54MB / 10.1MB,0B / 0B,11
2024-12-01T13:27:35.222483,0.26%,10.19MiB,128MiB,7.96%,9.54MB / 10.1MB,0B / 0B,11
2024-12-01T13:27:38.290758,0.02%,10.19MiB,128MiB,7.96%,9.54MB / 10.1MB,0B / 0B,11
2024-12-01T13:27:41.334005,0.05%,10.19MiB,128MiB,7.96%,9.54MB / 10.1MB,0B / 0B,11
2024-12-01T13:27:44.373385,0.02%,10.19MiB,128MiB,7.96%,9.54MB / 10.1MB,0B / 0B,11
2024-12-01T13:27:47.493033,0.02%,10.19MiB,128MiB,7.96%,9.54MB / 10.1MB,0B / 0B,11
